address,numberTransaction,isPonzi
16w9KgywKrdJaQMVQyWr313HLsxtJqJwat,26,false,
169g8d2ocjasKr1WPM3PTeY31LECvogQB4,56,false,
12WAu3D45TUVH8uPsVPNMN9DNpiDtmeENK,35,false,
1DC4aQgLKCwgVfdyELAgFRURxo6rpQVKhX,104,false,
1ENR3cKs3mcEyMBUSUfMrJRD8dMJZtkLUQ,26,false,
12cU6GoRKxdWub61XQMPuLNkxmmqjnw2sJ,72,false,
13QRsh88ewye6oAUzafZ6zZjtAV36JX14Q,27,false,
1Pvt41pRmHF66RBA8hrHCQnmTJ5Rst7nqY,41,false,
1Auvmqh2JEtJgMkNuujBCZR6vQCwDg2sgi,38,false,
1AKPi9AvKftfRcw7FwESgf944frtuTyC3N,132,false,
1C5auooyYS9dSrkzv5Y56u8zFDAWsucEna,60,false,
1Kbx1Bfh4xnhRCoL7mpHs63Vks3p54DTTw,35,false,
15ma5jJto3voRxBbweeBQuR9JWk4PSSHsg,118,false,
16uoU4XVnCnwXUE42ALj1K3X72JPeF2d48,46,false,
1Bf9ChN9Ck1aBKBdj7aTxyenxzHRHsTUSc,60,false,
19itXj5FjgJG9cjebgTqCg5YW9oBjksEwN,385,false,
1AoaLZMw5pyEBz3AAdosguHkLEZcNy1ZYn,715,false,
1Mc57132WGeake8gBxGtCFtBzHkR1HAuey,652,false,
13kagwRD3GtF6f7oL9rhC42HYCUT5S5yJY,33,false,
1M2TE9WwayxZMyXsv4NDSx5i4WCFJwq9NE,28,false,
16EeLa9BrZc1A4sasztaRdnfp3aU8DmuVC,156,false,
1JEiqUSeUgfMPgoUvifWaqjUXZem4oDARa,176,false,
1CSeF9fZiggN34CH9UE9MtsTfWRKaKQowS,106,false,
1C44dqdpCh9ZPuLg4ayRbdaHegs5muVy22,77,false,
1AjNKjzGtrnrziEzkypuU5aSRRK8cMm5UB,86,false,
1WLSx7PP1uDavVVAn5UREMAkXxB6NPCUs,46,false,
1K4ST8vyQfSf72jyLsbzg5U5rA2bY9fWSJ,29,false,
1nggzuTDHDpCVZsEWcLsH8YfWGVDNyLxP,204,false,
1N9adFvagHQ3WTufHLkZLtY3D4o9HmMEXW,619,false,
1D7Zjogj8GV3qvLoDwiA9qjZ97sZZPzanp,45,false,
1E5c6i2MjK1ErUyATWqQJXEtTgTuxUTsCc,45,false,
1877QcZSEZrrRNR882xjPW65pKoUacZ5KX,95,false,
1KhwVhc3Q4zmdX6ifVwyBxeZcUuzmmxyn1,41,false,
13kv7pPW6yqMRpuxdNHzQKwmJss9z8Bcti,963,false,
18QnbTgtTKxrXdsekQMMdAD7S7hvRQxcHb,240,false,
122ehyPM3y7xFKyZGvtaS4P2yMwwgR3Aku,44,false,
1LHejBRLEuZC5BET5qAwKayikQLFxEnz5M,54,false,
1LEXtwNzTNdJ3fcDoEtnx7wsYiCMeZdBfN,30,false,
1K7v2vXH7VWqs3DMmwwW225pq27toWyjFR,26,false,
14DGbFh4SqDF9dvddfjM5m9sic5GoRExVV,250,false,
1JgCwv54C9SPWfFdgQusW37QMcatSSUg6m,35,false,
14zqVUcUu7xJPvocTAXCEYVAioGXzpnJTN,42,false,
1D6qjERbXRJVqkzPD8C9BgdNWCpAkfwmXm,33,false,
1HbRBT4qCyLwALg6cHgfitruAe3NfpGpTD,43,false,
13P24j43vMMGFadD7dnbZCWapCxMnx67gN,27,false,
1EMxwHMPZGBAUimFTNhcqtg5wJzHjcx1nm,38,false,
1Ht4rVg3b5nakVaa83fkbjcYqmEpJXTXq1,30,false,
1ezt4auq8JtxA2jiv4QGKZAjVrCiUXV1F,32,false,
1GViH5ksvwfNnvKASB7wERXqbBAWk9PTmU,59,false,
1NiKtELYAkahfPdQdKiJnvUxdGuk7H2YK,113,false,
1EFotQdsKSR1dbDRdH4iFbHmtVax1TjNBi,103,false,
1MWkxpvXTLcZsYzrmAsv9JCNDRJtn188ny,237,false,
1EwnNdmmoeE5EbNgicLTQcjarpd7u9Fipb,29,false,
12wAbWDRCw88VepQUvJTuxPDA8ujANvbtH,93,false,
1KeA6FdWZ7DZW3v22f77mGGHtpnoNxzQfW,34,false,
14utochrw9krxWpw2KUnVGZho1gL1NExt3,78,false,
1KjP9b1tdeTv1u7b1pCPU81L7fJjNKqQR,94,false,
1NYwdDHVM3R7YRi4g3X3esgDW2PiwPnk77,42,false,
1Ca7eaWMo1ot3C5DRGDwx92hNpFePUrpzy,214,false,
1nBr3Ag37jSbg3jMDuS6gmvcKA7f8xYoW,68,false,
1C4yQzoK2Q8tQCLjCPC8DtDSBf62vf6mVR,174,false,
1HpGwgep6VFLi5x3JtNPCiYtEwBNF6CHDj,34,false,
19m4ccSDQk975x5xBHSx3f7A8oAcDDcUEq,30,false,
1CA6kDNYBgTma8v6FdEaxN42BYSXtHyxTf,40,false,
17MS6qKSXcHwSYf3DFA3rQpXMu6FRHFK1p,1534,false,
1G1KpJzZxiZ3R6A5rHLC3hs9vjcaoUQkfa,128,false,
1DhHwmGGGZPK6uQ1MLX71ZL17HWsT1A5ua,26,false,
1PsACmccnGAYT9ee19SCFZHibQ98Z4HcNw,43,false,
17SPJ7SpYpGC8x9BBxu9wHoWuapVKytMnM,115,false,
1Nj5MeCo2Qyk97iBcvQvjaksLgNiRs7L5H,45,false,
1F35MvPKPSEc1L198dPR1weyXnkDG516fN,88,false,
1FoWjUkEAZVZeHvrhhxC87E4NMuLbffKzw,125,false,
159FTr7Gjs2Qbj4Q5q29cvmchhqymQA7of,16441,false,
16HjqnMo5vs4CgKNZ4Pkdje8NHtaHR5Vrx,76,false,
1HYYrZfs2NRe4EkxQjYaBJezGEiSkFabjv,157,false,
1EsSD5htpPEELgEWKJAJfAXRW1XpVKS7PC,65,false,
1A3HkarNN9f6PH5JdjUTE1gRsSuK1TwYfY,38,false,
12ys4qSPDtKi9mgdFTxb57gZSBthNdPhFS,143,false,
14a7ndeYZRmF8RrCssXnLUeBn5k1GbhrZJ,30,false,
17rANSTto6WCqLRooP1qp4vVSbUvMh6Ks5,578,false,
1FCiddHMtH2uDN49z15ZJxLaZ3Z6gVvLn8,1038,false,
122nTe2oVFHivrPTMmbFCDDG1it5Ms7se1,57,false,
15B8YDtb8AUvSKmWXDaQ44ox6sjLoamM1e,359,false,
196p7qiFB5osRfk169VkfBfFKGMVFzWUmG,49,false,
17sKq9t2ZHoc1JiyfGENAKwhQgUgZvsxSR,36,false,
1DbQYvpXSVB7GXesCsxNVy1pv3hpevqWYv,713,false,
17xmF7ZSUhM2PY9AqzT3oWeqeorUKiFBda,34,false,
1LekJj3LY6QuybMJ638qcvyTMftiPS6XBD,311,false,
1CCAY1z6Hqq52E1UcWe3bd9WioSJYJKoD2,44,false,
13a3ir2AkXqVa6SNFu3fUCddvcH17sMwEu,311,false,
1FnhnhZxukuvhCUdrLoCydh7c2hweS9vqU,32,false,
12ZgoTPpWoL4fZiGA6LTpb77NcBAF5p842,109,false,
1DtfkVjwaGzav1c4ZMCYfpexPif9JL9WZD,47,false,
196BxEHT6MbWxbew3124St4SsBrxHmY7j1,60,false,
1Ea6jwAVDgUohKHXcMFE3sRWYmDPzfVR4a,56,false,
18oHtAN5KMGm32A2EoSiybk81oHZLZXeBj,187,false,
1Cbr8Kt8bznR3WjunfQ5Z5RyRGT63ou3Ay,51,false,
1162sA45pNhWE5rDdaiDqoxDhCNyG3SRzG,38,false,
151oXRuzhw8K3dQaXCCXbLZ6gCTKPxus8t,50,false,
16VHtRfxx8k7CqC6bnXNZhMbmgwsad9D1a,99,false,
1Ff7AUN7bQkqfSjLaMLi54tWLnWTqvrhwA,39,false,
1AjM7fvtZz7Si2rEjPLfdD7461p5hGzn1H,670,false,
18fzBQCSS3bfwct9PRNb15B1QP5QZpER6H,27,false,
15byuD7pWL6vboxLDQ9RXFf1533ZpHNBNG,95,false,
1H1HPtjtffaQBz9UsGh3M53f4AyWGhe2eT,43,false,
1EZBPJnbPF15UKoeL9erYiLVeDxBpbMHx5,162,false,
1F4XpKERxn426KquCavNmcRxokz6gaaxQK,78,false,
1GDN7PKf7t427dcPU7mXZjPzresga3MHpA,73,false,
1HMus71jpU8PGgcSStdoJ9PPsBACayHNQT,95,false,
1336jWAbiXnuLGpWeYdavMLKFTzrBa4vny,75,false,
1CT72AtXDs4y6ikE13FUBCSkbZhjxuYapU,38,false,
1Hbdkf5BqsBPjBnjmdCTLiyngZuXeVxo89,686,false,
1GeHMwBRdMgQYeq43qCLNSdfHdkNssBon,50,false,
1iKoLd3bUrXtsh8tkTRYpW8mwJMRa973J,27,false,
1GhpPWuoYFk6tyB7oEe94QssgU6D9sWyVd,46,false,
1BubynasDadHrs6eSuNuVgi3w1JQzD3oZT,28,false,
18mbgyvSWozA1k7aE7XBGus4w73xs2yTqs,42,false,
1PfSnNKTdKVCb4n4NLJLUN7Fip79KvotZW,258,false,
16FuTPaeRSPVxxCnwQmdyx2PQWxX6HWzhQ,62,false,
1JGnq6TqWybkoHZJ93nUiQQAEGJ5rucAeJ,66,false,
19oZVzd3b6ptxbBncTusRkq6VMivXNqCsS,58,false,
16FDvRGtRdQRsumspAY1mg6gqDQZZTtr84,55,false,
1EhnSN7Lw8zaKyps7CoWLK99Jqpnj6PU89,261,false,
1Am2dJwMxKMcooRUZzADq1yxR46SATTymD,40,false,
1CEQRKxXCEuWL7M9oDdCstGrrw7L6v4PdQ,30,false,
1AzCNpvKbap3oTcdu7xPiDKYrqWPnKdcKa,233,false,
1PBBJoaYQUBhfhcrcrNy12dzs4Nw7U4ofz,967,false,
1JXt6mcQKLk5CWmLrwW3hkE7tiJc4sg4AW,58,false,
1HZYXDYDqyiaJBMveo6G9QGbYXuv8RRjv6,165,false,
18YZ8QyGKRQP8PqLsi5uanMRoLF94qoa2S,43,false,
16ZVzsqxwHCq16WzTKJmpmuYh3ic6WiWkv,26,false,
16AdU9fjvb5EEFbam8ae2eGseTdCUxd7pm,768,false,
17C1JdyuQ6ykQ3AJYsBYNtc92pnggD1ixZ,29,false,
1JuiqMVyDVovkqsGaYkGJuJUQuPQm6YxUs,43,false,
1LzEkJqdpKkzez7V2GaPy5vLpaXefxgbNT,54,false,
1DdmdgYrgYYSTHqRw2PB75xH5UwgAKh8d4,194,false,
13uHRaBHWpjxnYMSkKVJ3Xc1FtZ8bnKv4k,42,false,
1FjP7keMq8vgyi2b7pDeAH4RRJhMCJvbUi,64,false,
1Q8xSPMU5BVRLsESVhPzYeV1PReE7gFYhp,69,false,
1CydT7ejjrzELkprjJp6pCZrcN27WuoFdF,48,false,
1DNz7FcUbs6W9kZqkdevCZdokCJAgQicqv,172,false,
1D1ZMYEq8RFs5Dd7E2xM6i9N3n33sUxsNS,47,false,
18QwMsfAaWcsZTq8yWRBU7c2YhekzrRq7S,38,false,
1QBEiWBG8a356f2r6XyD258PW4EirP2PDF,118,false,
1MUNRzU8VF1NSdM39uP9SBY5bVWazNwyYq,51,false,
1DZAZEgdXi3mwDnY6DSoHV5K4t7ZhG6Avg,316,false,
1CzyzLwtm3iQhYwH4CWNHNbT3XJtJ6Bd2J,141,false,
12PM1HPPuYEVreH3HuNLhs3vG8fExFJ6uK,75,false,
1AZch9RgNZJZTVBJSd8Q8bbWSTKAbdQQ2f,46,false,
1CkMWHRY1PqEHw36HzTC4GF9ABZZNYsWeD,50,false,
1AJRz6Cw7PuMMUR2j62T3vu82bo18oYWy3,100,false,
1GLi3UotDDcgMJBzZ1gX7gtEsdfQbta16o,120,false,
15or3iC3YZqhSRXNoQrp2ePbFccdDE2fRB,37,false,
1PPrSSDg8eswL2VsaHZiHWurLj7Xi15a1c,123,false,
1FPG3vjdg5bmZMeUorMGmwAouL9cxQqdaP,30,false,
1EBPBQpoZtHK1g6HYDhK7YU3Npfs7r9cW3,249,false,
1MSGtq44fDH6z6Asy5PGpEUZcnVf4PW48y,207,false,
13PKp5X9Po1v33tccyMHqh5Kkevnhddjrz,71,false,
1EQNXgatjKfiih9LsHMNwYQFc6tNVbtCNn,112,false,
15w27GaUxP8Rru94z21JsVfFWhBFSh1uvT,95,false,
1LofcagFrDmkFYtwAHhppVWPANdL2Yk36T,27,false,
19RUqHfp1CnXQzch1D4VXsewLKybt9EhE2,28,false,
12ypPcj6C7ocTYji3tRKnLVLSfiVN9hqMk,162,false,
1Fw5fLzSBDgUxRuGaQKLddJrrhkxGfXFpn,833,false,
13FM5oGXozSwNdVKZjm3HVrj1qtD5Yv745,34,false,
1J58mJj5wnjyhhmdFdVew9amSvzwkVh5dV,746,false,
1Kc2y5rwMU8nHXXpNJmrAcsxJsA4ZQi8wN,138,false,
1GAbPbGg1qQCkGrehVxAKNteaGJEU7rb99,36,false,
1EQBPjn9w5WvEbbbBQKUjtxHxnTMaUSMuc,64,false,
166vasb9tjzvtatViByD8yqZzH1PYgBHnQ,69,false,
1BDJw7twEKFi79T3rT2GfQQgtDexJKRWAa,38,false,
1Jr2vEeNjVk2aGxvDbnEhSyzt3aAxjhtqJ,731,false,
12xm2jMihYMZ2hjJrPY6JWxKArmkRf3BfP,41,false,
1DtrJAoR32iZWasSeQNqLNuNEjfvxXFtW8,34,false,
1KYAWwyMgBE2ZANNFmc8ND7dnZTW9ypD39,32,false,
19ZJ6XS361VwTzwA3v9K6BtrZMwVjgeWyG,446,false,
15rkMjsuJsq7ZTr4rEbYdkMF39iCXTeqcW,93,false,
19BQbehg3TwZ5vfAvC3AgkWiTuFiEU4qQT,102,false,
1JUJiyTPucL2TszCamwYNJ8Tqeb45XJ4Sa,26,false,
19Fm7awgnt44vhUda1hTpEaJT8wMCMgv7f,70,false,
14YXxmSNDoGvw2W97Q1tjh8LR71tKSSSiK,176,false,
13dGz7Go3CSRYoyEAiaYf18F1njU66BT2P,63,false,
1QAY8nPSj1TnYNhaGZp7fqrGtEo3ShsbkJ,106,false,
1G9dKTaEWbYEcX4Vhr88FxExpKvaC2PY7x,31,false,
1NbfMhgtmL7LhiVG7knjZb6SgNf9jswhLp,55,false,
19QDGMRKdZ9BpDZP2Re6yaDqNQ7zN4wo1D,195,false,
18gPHvrg3kNW2h2tXLezXJaWX3MvUVhk7a,52,false,
1Af4zjVxQa2df5XyyybW7Pc6R16iYUoC6f,86,false,
19DAVPvo4W7uRjakbAYZUe8JHZgnfMjbt2,36,false,
1Pe7wWfFQBNoV1zt8FJkJJLCCYgecMq334,58,false,
1DzwaVng5XYCwLcYZPf5W6WwsgfqiqKDgT,108,false,
19s9PXuJALfiME3H7wCmUGoixYE21LcE4f,219,false,
13uGdNTViekUMeZjbY7bmoun5wRZ3ayWbv,36,false,
1826QBZ5kUoDzZLVm1H5AxBzeG1wq7FZm6,191,false,
132u7iyRX3hGYdkE7MHG5iFU3YfjTJspEK,28,false,
12eQjLAXmkVV3BbZf95yd9Njb3PrKQdrRw,34,false,
1LgTGtnQX3NBSQ6BgZ4XvGBwi3xMMz2k9d,99,false,
1PEw5kHBEW571yJFVKZhhi4NkePs15LvHm,52,false,
1LEX3tc4xy2eBHJ38UkDyoZsfqiVGsREP5,67,false,
1HRMrWNmN7DBCUKTJr8E7UnxzDXnKuxGbX,37,false,
1Hd2PmAw9NnENpxfm3zYG1cUvGb7Wn4NX,32,false,
1LV938C85zzMKvuUKBWx5RVCE4Juz8mv5,100,false,
1B6NcSdspxv9shwFBrcjo1Yh24VAb8mcbm,50,false,
1CcAVRaWAHzE7cStw3W26TgeusZhUnSFGt,28,false,
196ySZkQhN6uxffq1r3XSdAZfKPMykRb7a,62,false,
1PjdGJT3rzNYhkW9fSfckShHkm8GEoEMwt,157,false,
14NhJnfejNWcx8Qqj3JZWFG8diNm5FADYs,33,false,
1ZkvEgT42BwUnQxbFGKfFrXsRSAeXHSPY,92,false,
14wyPPnKMwXcPPj8FmzgNT4GPq6ZoDeHKr,31,false,
1NqEVAkrxnL7hqWqrw3rf9JLFvmRsee1xU,99,false,
1744YYjQaNSeUFCz2dtfYQLs2XYPQhZwRG,34,false,
12sXrPz1ASHLY2JtjPCht3meF8WtknFcWZ,42,false,
17fbDihR1CX1y8XtpPMW6ABjqAQ1s6fVKV,133,false,
1DVMKQVvN52DgjBwxsaMhpRwJWwqKDwpAc,147,false,
127U2BTVQ23td2Fh5dnmdAo6HTXQ3qbNcP,52,false,
14BvspidPdHZKFMFi4keRz7cDkrMFz6Sua,39,false,
12bCunvH78WFxTHqZJVHaudMCyuVDhyD1u,68,false,
1DK8nSLKQcL5ysLfBZWKAPo8WscXhCFjWX,90,false,
132dfd1tstSW5LrjuXAxiFxeMUZt9xdd5a,51,false,
1FNTpsLm8Mitdd99YC1tHSyN2dVMdQiWYo,76,false,
1ENy1MXcKUmKEa5uby3nUazbJF5Vf21WLk,59,false,
1NRPAFzzic9Hn8YvjgyRDjza9XLjp9FrNF,108,false,
1DFzRod3w9y65q85b4kBsgfMZHcaAsiWy6,79,false,
14akcjc9r7RT1qivvQFULc2QmwCugUNxth,56,false,
17bStuGbR5F6hauktt1N2BPCcZz4za9PmS,170,false,
14bswYju5LLcfJGcmxdH6S27fFHjqTpsR7,26,false,
1mf3f997fAfHamKtLLMRdhcPTWND22Vs7,105,false,
1PJAFeszLofD9eUeND7ywhqyE8tw2g47rw,113,false,
15hpZLPY3zaRmYfXp71icuF3iFcMi1LpWP,118,false,
13xoym2Aov6H5SDDkvxc4a5YNd8ffQZDiM,36,false,
15nT6CRdwedDuqrt8RALWUuZBA4QhpMG8f,170,false,
1PR753WUNAXEDgGFpD1anJAYvoC51cTNjS,86,false,
1BstEGUM4cS2TsVMcf9wwBr9Ghx3EcT1Jt,27,false,
1A5N6878e6LkT5E852qyPgpfKdKYRH4wuZ,70,false,
1MUSST2mq8KjQFR2QC9sNfAj5AJkStf6SN,397,false,
1PacXnK3yC7GbEYNGUGxwuzBy83jfcnYzo,60,false,
1DYMsJV3pckiVSJjRJ3kkD6N8eshTU8ans,26,false,
1Jk1VFdYqyngUZrEkKkUhsXuFfqYNj5Rzx,57,false,
1Dg8M99LkreKTcG4QF8H3ySnyT721ZrL6Y,49,false,
17s2rRdcVDHHfDvUc3ukbJNqCtWeFYEhT3,42,false,
1obk6ozdpiktqmREj8hHHx1xJ94cVF2gg,68,false,
1KdpKxCdUbCJWZjQveaw3r9h4cNZS2E7Jv,69,false,
16jn8KUQf9YWzCnUuwA3gw6VgKf8svybPZ,56,false,
1K9YPNam564ZFtwUziNCfnyeZZVLL6PXXh,33,false,
1KzxnMWo8RT7xguaLfqyHoS3AS3rp25PqV,97,false,
13zvAh3djJBHse1ifizwtCti9C4hynVxfe,126,false,
1NssVrXDNEuEhKBZFVSdKRXxLUDNEMQCGz,57,false,
1NLBH5uQaNcqfCmXNp5xY7HLpQHWWv3dMk,215,false,
1KRuDKF9kbttwTmecjp74e9pwAUKjvtBUx,39,false,
1AeZ1yqnEXeEtAS7BdvPztjWfyiuCJ9WmX,89,false,
1GVwY5HCpdLRZZURR3ehyMgL7FJSWTaz8C,322,false,
1Dke3WCzGJBfLis14eYY6pqj6zJHZKsu5X,421,false,
1DQbfjuFMfGbDpfBpboaqygVpeUqNLKhx2,72,false,
15KnvtsJP88EkqpSYWTx3uCjwMQ9P8a3tH,31,false,
1EkgnypYd3JnnUsAC5Wv6jj99gzveNYMNB,26,false,
1EUtK1YfEkAs9g3KpTeDdWtRBncVoWTNVy,147,false,
1P3FAMS8PsyvC4PaKXzCm6iYqwzGdXooKX,121,false,
1PwTgMoGDAzytfJFZvNzEzMeAAk7PhVT3e,38,false,
1LVYAk2cDNHJdxYqPyEbQBDCzem6aD3Z6H,34,false,
157kHSkGfguMaPCndEu3omAHuEfFQw1AHL,112,false,
17SXQUfDKigyyP6rPN97A1tiSNQ5vWQVo9,40,false,
1ZTABNhD2bYDvFskVZGjwLrbEt8oZpy8g,36,false,
14cTGSeQdmBPVvFqNBdLC8Y854XqvuFMjf,38,false,
1KcXtfstnErv6xyS3kLYwLsAdYweinme8z,26,false,
1Dtt1Ds2bLeryEZF6vXzVaGymH28PhyoYX,28,false,
1DBqvqfLQV92yHJb43EatSDejJXM66JoeX,39,false,
19CmGWG65LYHnD3i55psmYWvpcvdhbfDBm,68,false,
1MYeCVe9Z451WV4co5waVzZMFHugxqmKRe,75,false,
13wca6HwXpDivPYKxaNtkHASiM9Tqn2yKW,32,false,
18RQsiDP5U3y2tLF8W7T6sJyAHjUnpHb23,60,false,
1FXCXvaFkrizXA1ZR2U9vQhue9922MduNB,124,false,
17RhPB82C4cCVeai6hUH1N5TLxE6wHQVaD,678,false,
1MbYeWeJfmrRHRpjT77pRGgroFJPfpN9Y,36,false,
1Mzwnm7ajVaQyKkpeFXvSHP9z9rFbeJuv7,144,false,
1EZwQSmKSBtcJJNN5cjfBGoXYSj5GtUxiE,43,false,
19WzrnZpaRL77cQn8c2kGUEuKM5vwbDHLi,41,false,
1EWqJkoaeu1PWyuVoRKMR7wp75cmqYVe8,86,false,
1D7SSKdoD2vinxz7XV1HS7rLcdeCcA8BBC,43,false,
1662cgefvUN99GhimJuBQS1wi3z3VJ9udL,67,false,
1PjS1ytV79E4LASAnd1KUr7Wt7HYxVY6g7,46,false,
13UounnD2uD16z1N4G97mD9diNkfdxmGcf,122,false,
1GdxNJuADuTBPL81VnExHCJSpAmoehX8Pz,111,false,
1BQcZmFdJNiuGcDQPrvc4H774nf325kyXa,45,false,
18wTioWUVHqcysR5HDoK8Rx4GyqUejhYcz,32,false,
18TKNbSLTrd3a2W8mtoH5uNzFhWRWNcuHU,235,false,
143YhfeMh1rXVBFhJGdMgo9U7PKbbAMkfy,50,false,
1SiojFSTRrYRc9FwCDHbigxr5aDZDxuYE,30,false,
1L4efbBXRGcmkUTLe7tAz8Th9b8yn3uMc2,54,false,
1LoHaJgF4hAKMLgyz7zqjeJQ1NR8SrKRGC,30,false,
1CdrbxGpX5uC26z51rg1UYxboGgQz7UBPe,71,false,
1FTubD4NuLQp3rrGUBZJPdDxroVkDhUUyC,59,false,
13UKWvFmJNfRESELoo6smKsuoEJYhMAkFt,39,false,
13sdkG1jFubL6XVHWqYLUYkPisHNXsyMLi,28,false,
1PYyqpC1eHdxzciRn2PyQpMYetNxzYwghn,109,false,
13ignD31FysQbaBBVJUzffcQoFxxEuEcbE,59,false,
1MfsgefQZtad9ivzAiSWJUhJ1WBngG5eEJ,52,false,
1J2qbib4wSZ6Rnb9XqMuwyN2j6XM9jCKyn,235,false,
1CMRft7Qxj8tceN6nBdLzYpeoziRv89kvy,37,false,
17M2NkpVC8ERHwyTQcwfDxh53J1tD6HpAZ,123,false,
1GVmhYq9M17qRtiC2N46cpB2WrchM1geeS,122,false,
14dVLPCPoZnscqrBHuFrK4VqnuRDYiyz13,50,false,
18KvJ1NUa2Y94fAEdzbB1PMaMQCX3khAMq,108,false,
1MFG3TkydddRrsxqFKEjRbU4XH3QBKqBtz,99,false,
1Dj1SocbbH9Lbb9aTdqSHB9AAjhdxNNZha,68,false,
16GXWF92k7C85AsMwHUEyqVhuPGWP3C6XS,42,false,
1EoBGvjdrSPEkuPy2E35k515N6KWwJYr7q,45,false,
19fXnE7DeKfqJ1HNPtgkML3uCUMt99TTcB,61,false,
1NV6nxguYLr18NhtGzkNokZpiB5rXHn24t,153,false,
1DpNPLpQmvfCUzJuGQsfssj3NjyKaB5sJi,117,false,
1Eooewky7ruwnh6fiGTZv4kbf3QwheKP2V,273,false,
1CJBrsmjCpJzfLrm2VNCbfXxmXtmpDxpQU,141,false,
1KqLRFkmKQmA8R9gXCALZLxznNFfQTZvqt,44,false,
13KKv3ywwJ5WYovLgiCAaqpCVuMDEF6oxo,268,false,
1Ebekbb8BZux3WtSHuLTW4jBjjmb9UkRkY,106,false,
1NS4XTgeoUPnJ1hFJRzrsDYouHCZ16idB7,170,false,
12BWopaUPxS9hrNpuoydwv7zAFqhJou5hg,30,false,
1HAKDZ3EJoMNA5FuyjqngkxakoJzEPja1G,35,false,
1D6YB2som5i4D4LxHsXc13XEpZm9Vvfbnw,143,false,
14wM87S6VPM1QmAKy5xpkSYB1gAVFJNXfk,187,false,
1945qfobZxdnmVJ6qBd4FgcVcWBhDXKiTV,27,false,
1BGFK4uWrYzdLBZai4UknUDboVnmzusaeX,1841,false,
1Pzc2TLHLkg6kbJ8TRc9aMFpHfWtQndRuW,65,false,
14QzMUZ1EAKQEQFau9d4YSKuXgMVLKHCUL,63,false,
19nS5gMgbtQVH5VWyRQ1wWHPwqzu7NCMaB,46,false,
19eca4abAYxxXrorWuc5mesN8WLVim5b4j,92,false,
19YdAVBeuHVestA8jN2MFvVDXfyh82WJQH,85,false,
19Vu6obtQrUMbYt9ZTSLSnxMHY5od4DVeG,273,false,
14FXT5xMWjkQaKwwfYWmHkAVaPSpEKNEae,46,false,
1ByXyUFbrvvpJN4YRyfG3r4PBZ5otpV2qN,41,false,
17y9dtQwiT8oTFB7pKEtq6dEZSqdKvNqTb,120,false,
